Time,Load Cell,Moving Forward
2877040.0,-0.02148413,0.0
2877118.0,0.00762021,0.0
2877196.0,0.01341051,0.0
2877275.0,0.00909315,0.0
2877353.0,-0.00528113,0.0
2877431.0,-0.01538895,0.0
2877509.0,0.01193757,0.0
2877587.0,0.00375993,0.0
2877665.0,-0.00665269,0.0
2877743.0,-0.00741451,0.0
2877821.0,-0.0139667,0.0
2877899.0,0.01356295,0.0
2877978.0,0.00828057,0.0
2878056.0,-0.00020188,0.0
2878134.0,-0.00269082,0.0
2878212.0,0.01854061,0.0
2878290.0,-0.00578921,0.0
2878368.0,-0.01401754,0.0
2878446.0,0.02077551,0.0
2878524.0,0.00218531,0.0
2878603.0,0.00894086,0.0
2878681.0,-0.01208736,0.0
2878759.0,0.01356295,0.0
2878837.0,0.00416633,0.0
2878915.0,0.00482662,0.0
2878993.0,-0.0033511,0.0
2879071.0,-0.01381441,0.0
2879149.0,-0.00995413,0.0
2879227.0,-0.00192885,0.0
2879306.0,-0.00716047,0.0
2879384.0,0.01376615,0.0
2879462.0,0.01722003,0.0
2879540.0,-0.0030463,0.0
2879618.0,0.00025529,0.0
2879696.0,-0.00157329,0.0
2879774.0,-0.00137016,0.0
2879852.0,-0.00975101,0.0
2879930.0,-0.00903981,0.0
2880009.0,-0.01188431,0.0
2880087.0,-0.0099033,0.0
2880165.0,0.00629956,0.0
2880243.0,-0.00147176,0.0
2880321.0,-0.00909065,0.0
2880399.0,0.02996908,0.0
2880477.0,0.00106786,0.0
2880555.0,-0.00751603,0.0
2880633.0,-0.00218281,0.0
2880712.0,0.00843278,0.0
2880790.0,0.00985503,0.0
2880868.0,0.00467418,0.0
2880946.0,-0.00736367,0.0
2881024.0,-0.01361114,0.0
2881102.0,0.00873758,0.0
2881180.0,-0.02925538,0.0
2881258.0,0.00680748,0.0
2881337.0,0.01056616,0.0
2881415.0,0.00167746,0.0
2881493.0,-0.0080748,0.0
2881571.0,-0.01452546,0.0
